KEY;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;HUNGARIAN;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;X
dynamic-al_suryah_arabic-oghuz-culture-num1;Mashriqi-Oghuz;Mashriqi-Oghuz;Mashriqi-Oghuz;Mashriqi-Oghuz;Mashriqi-Oghuz;Mashriqi-Oghuz;Mashriqi-Oghuz;Mashriqi-Oghuz;Mashriqi-Oghuz;Mashriqi-Oghuz;Mashriqi-Oghuz;Mashriqi-Oghuz;Mashriqi-Oghuz;x
dynamic-avadhi-culture-num1;Sarasvati;Sarasvati;Sarasvati;Sarasvati;Sarasvati;Sarasvati;Sarasvati;Sarasvati;Sarasvati;Sarasvati;Sarasvati;Sarasvati;Sarasvati;x
dynamic-bedouin_arabic-beja-culture-num1;Beja-Bedouin;Beja-Bedouin;Beja-Bedouin;Beja-Bedouin;Beja-Bedouin;Beja-Bedouin;Beja-Bedouin;Beja-Bedouin;Beja-Bedouin;Beja-Bedouin;Beja-Bedouin;Beja-Bedouin;Beja-Bedouin;x
dynamic-bedouin_arabic-somali-culture-num1;Somali-Bedouin;Somali-Bedouin;Somali-Bedouin;Somali-Bedouin;Somali-Bedouin;Somali-Bedouin;Somali-Bedouin;Somali-Bedouin;Somali-Bedouin;Somali-Bedouin;Somali-Bedouin;Somali-Bedouin;Somali-Bedouin;x
dynamic-chihan-culture-num1;Dêrlênka;Dêrlênka;Dêrlênka;Dêrlênka;Dêrlênka;Dêrlênka;Dêrlênka;Dêrlênka;Dêrlênka;Dêrlênka;Dêrlênka;Dêrlênka;Dêrlênka;x
dynamic-kurdish-al_suryah_arabic-culture-num1;Kurdo-Mashriqi;Kurdo-Mashriqi;Kurdo-Mashriqi;Kurdo-Mashriqi;Kurdo-Mashriqi;Kurdo-Mashriqi;Kurdo-Mashriqi;Kurdo-Mashriqi;Kurdo-Mashriqi;Kurdo-Mashriqi;Kurdo-Mashriqi;Kurdo-Mashriqi;Kurdo-Mashriqi;x
dynamic-oirats-culture-num1;Yughuro-Tangut;Yughuro-Tangut;Yughuro-Tangut;Yughuro-Tangut;Yughuro-Tangut;Yughuro-Tangut;Yughuro-Tangut;Yughuro-Tangut;Yughuro-Tangut;Yughuro-Tangut;Yughuro-Tangut;Yughuro-Tangut;Yughuro-Tangut;x
dynamic-polish-culture-num1;Lubuszian;Lubuszian;Lubuszian;Lubuszian;Lubuszian;Lubuszian;Lubuszian;Lubuszian;Lubuszian;Lubuszian;Lubuszian;Lubuszian;Lubuszian;x
dynamic-russian_culture-vepsian-culture-num1;Vepso-Russian;Vepso-Russian;Vepso-Russian;Vepso-Russian;Vepso-Russian;Vepso-Russian;Vepso-Russian;Vepso-Russian;Vepso-Russian;Vepso-Russian;Vepso-Russian;Vepso-Russian;Vepso-Russian;x
dynamic-tajik-oghuz-culture-num1;Tajiki-Oghuz;Tajiki-Oghuz;Tajiki-Oghuz;Tajiki-Oghuz;Tajiki-Oghuz;Tajiki-Oghuz;Tajiki-Oghuz;Tajiki-Oghuz;Tajiki-Oghuz;Tajiki-Oghuz;Tajiki-Oghuz;Tajiki-Oghuz;Tajiki-Oghuz;x
